family,genus,species,established_FL ,native
Apocynaceae,Rhabdadenia/diplodenia,sp.,,
Rubiaceae,Rhondeletia,leucophylla,0,0
Anacardiaceae,Rhus,copallinum,1,1
Fabaceae,Rhynchosia,minima,1,1
Fabaceae,Rhynchosia,reniformis,1,1
Cyperaceae,Rhynchospora,floridensis,1,1
Rubiaceae,Richardia,brasiliensis,1,0
Rubiaceae,Richardia,grandiflora,1,0
Euphorbiaceae,Ricinus,communis,1,0
Annonaceae,Rollinia ,deliciosa,0,0
Lamiaceae,Rosmarinus ,officinalis,0,0
Poaceae,Rottboellia,cochinchinensis,1,0
Arecaceae,Roystonea,regia,1,1
Acanthaceae,Ruellia,blechum,1,0
Acanthaceae,Ruellia,ciliatiflora,1,0
Acanthaceae,Ruellia,simplex [tweediana],1,0
Acanthaceae,Ruellia,succulenta,1,1
Plantaginaceae,Russelia,equisetiformis,1,0
Arecaceae,Sabal,causiarum,0,0
Arecaceae,Sabal,etonia,1,1
Arecaceae,Sabal,maritima,0,0
Arecaceae,Sabal,"mauritiiformis
",0,0
Arecaceae,Sabal,mexicana/bermudana,,0
Arecaceae,Sabal,minor,1,1
Arecaceae,Sabal,palmetto,1,1
Arecaceae,Sabal,uresana?,0,0
Salicaceae,Salix,caroliniana,1,1
Lamiaceae,Salvia,occidentalis,1,1
Ruscaceae,Sanseveria,hyacinthoides,1,0
Arecaceae,Satakentia,liukiuensis,0,0
Anacardiaceae,Schinus,terebinthifolius,1,0
Arecaceae,Schippia,concolor,0,0
Poaceae,Schizachyrium,gracile,1,1
Poaceae,Schizachyrium,rhizomatum,1,1
Poaceae,Schizachyrium,sanguineum,1,1
Araliaceae,Schefflera,actinophylla,1,0
Araliaceae,Schleffera,arboricola,1,0
Cyperaceae,Scleria,ciliata,1,1
Lamiaceae,Scutellaria,havanensis,1,1
Cactaceae,Selenicereus [Hylocereus],polyrhizus x undatus,0,0
Cactaceae,Selenicereus [Hylocereus],undatus,1,0
Fabaceae,Senna,ligustrina,1,1
Fabaceae,Senna,mexicana chapmanii,1,1
Fabaceae,Senna,obtusifolia,1,1
Fabaceae,Senna,polyphylla,0,0
Fabaceae,Senna,surattensis,1,0
Arecaceae,Serenoa,repens,1,1
Poaceae,Setaria,parviflora,1,1
Poaceae,Setaria,rariflora,1,0
Poaceae,Setaria,setosa,1,0
Poaceae,Setaria,viridis,1,0
Malvaceae,Sida,ulmifolia,1,1
Sapotaceae,Sideroxylon,foetidissimum,1,1
Sapotaceae,Sideroxylon,salicifolium,1,1
Simaroubaceae,Simarouba,glauca,1,1
Smilacaceae,Smilax,auriculata,1,1
Smilacaceae,Smilax,bona-nox,1,1
Solanaceae,Solanum,americanum,1,1
Solanaceae,Solanum,lycopersicum,1,0
Solanaceae,Solanum,melongena,1,0
Solanaceae,Solanum,viarum,1,0
Asteraceae,Solidago,odora chapmanii,1,1
Asteraceae,Sonchus,asper,1,0
Asteraceae,Sonchus,oleraceus,1,0
Plantaginaceae,Sophronanthe,hispida,1,1
Poaceae,Sorghastrum,secundum,1,1
Poaceae,Sorghum,bicolor,1,0
Poaceae,Sorghum,halepense,1,0
Rubiaceae,Spermacoce,keyensis,1,1
Rubiaceae,Spermacoce,prostrata,1,1
Rubiaceae,Spermacoce,remota,1,1
Rubiaceae,Spermacoce,tetraquetra,1,1
Rubiaceae,Spermacoce,verticillata,1,0
Asteraceae,Sphagneticola,trilobata,1,0
Loganiaceae [Strychnaceae],Spigelia,anthelmia,1,1
Anacardiaceae,Spondias ,cytherea/mombin,0,0
Anacardiaceae,Spondias ,mombin,0,0
Anacardiaceae,Spondias ,purpurea ,1,0
Poaceae,Sporobolus,indicus,1,0
Verbenaceae,Stachytarpheta,cayennensis,1,0
Verbenaceae,Stachytarpheta,jamaicensis,1,1
Poaceae,Stenotaphrum,secundatum,1,1
Strelitziaceae,Strelitzia,sp.,0,0
Fabaceae,Stylosanthes ,hamata,1,1
Meliaceae,Swietenia,mahagoni,1,1
Arecaceae,Syagrus,romanzoffiana,1,0
Arecaceae,Syagrus,sp.,0,0
Asteraceae,Symphyotrichum,adnatum,1,1
Asteraceae,Symphyotrichum,concolor,1,1
Asteraceae,Symphyotrichum,dumosum,1,1
Araceae,Syngonium,podophyllum,1,0
Myrtaceae,Syzygium ,cumini,1,0
Myrtaceae,Syzygium ,samarangense,0,0
Bignoniaceae,Tabebuia,aurea,1,0
Bignoniaceae,Tabebuia,heterophylla,1,0
Fabaceae,Tamarindus,indica,1,0
Combretaceae,Terminalia,catappa,1,0
Combretaceae,Terminalia [Bucida],molinetti,1,1
Thelypteridaceae,Thelypteris,sclerophylla,1,1
Arecaceae,Thrinax,radiata,1,1
Melastomataceae,Tibouchina,cv 'Jules',0,0
Bromeliaceae,Tillandsia,balbisiana,1,1
Bromeliaceae,Tillandsia,fasciculata,1,1
Bromeliaceae,Tillandsia,recurvata,1,1
Bromeliaceae,Tillandsia,utriculata,1,1
Asteraceae,Tithonia,diversifolia,1,0
Linderniaceae,Torenia [Linderna],crustacea,1,0
Anacardiaceae,Toxicodendron,radicans,1,1
Commelinaceae,Tradescantia,pallida,1,0
Commelinaceae,Tradescantia,spathacea,1,0
Commelinaceae,Tradescantia,zebrina,1,0
Euphorbiaceae,Tragia,saxicola,1,1
Cannabaceae [Incl. Celtidaceae],Trema,micrantha,1,1
Asteraceae,Tridax,procumbens,1,0
Fabaceae,Trifolium,sp.,1,
Poaceae,Tripsacum,floridanum,1,1
Convolvulaceae,Turbina,corymbosa,1,0
Malvaceae,Urena,lobata,1,0
Poaceae,Urochloa,distachya,1,0
Poaceae,Urochloa,ramosa,1,0
Poaceae,Urochloa [Panicum],maxima,1,0
Orchidaceae,Vanda,coerula x sanderiana,0,0
Orchidaceae,Vanilla,planifolia hybrid,1,0
Orchidaceae,Vanilla/Epidendrum,sp.,,
Arecaceae,Veitchia,arecina,0,0
Verbenaceae,Verbena,incompta,1,0
Plantaginaceae,Veronica,peregrina,1,1
Adoxaceae,Viburnum,awabuki,0,0
Adoxaceae,Viburnum,suspensum,0,0
Fabaceae,Vigna,hosei,1,0
Lamiaceae,Vitex,sp.,,
Lamiaceae,Vitex,glabrata,1,0
Vitaceae,Vitis,rotundifolia,1,1
Vitaceae,Vitis,vinifera,0,0
Arecaceae,Washingtonia,robusta,1,0
Arecaceae,Woodyetia,bifurcata,0,0
Asteraceae,Youngia,japonica,1,0
Agavaceae,Yucca,nr elephantipes,,
Zamiaceae,Zamia,integrifolia [floridana],1,1
Araceae,Zamioculcas,zamiifolia,0,0
Rutaceae,Zanthoxylum,fagara,1,1
Poaceae,Zea,mays,1,0
Amaryllidaceae,Zephyranthes,citrina,1,0
Rhamnaceae,Ziziphus ,joaziero,0,0
Rhamnaceae,Ziziphus ,mauritiana,1,0
Arecaceae,Zombia,antillarum,0,0
Poaceae,Zoysia,matrella,1,0
Poaceae,Zoysia,pacifica,1,0
