block,site,code,genus,species,uncertain,%cover,ht >3m (x),remarks
1,N,32,Lepidium,virginianum,,,,
1,N,32,Eragrostis,barrelieri,,,,
1,N,32,,,Grass,,,
1,N,32,Macroptilium,lathyroides,,,,
1,N,32,Parthenium,hysterophorus,,,,
1,N,32,Digitaria,ciliaris,,,,
1,N,32,Cenchrus,echinatus,,,,
1,N,32,Acalypha,setosa,,,,
1,N,32,Spermacoce,remota,,,,
1,N,32,Emilia,fosbergii,,,,
1,N,32,Eclipta,prostrata,,,,
1,N,32,Rottboellia,cochinchinensis,,,,
1,N,32,Portulaca,oleracea,,,,
1,N,32,Phyllanthus,amarus,,,,
1,N,40.1.1,Crotalaria,juncea,,30,N,
1,N,40.1.1,Sorghum,bicolor,,5,N,
1,N,40.1.1,Medicago,lupulina,,<1,N,
1,N,40.1.1,Phyllanthus,amarus,,<1,N,
1,N,40.1.1,Eragrostis,barrelieri,,<1,N,
1,N,40.1.1,Oxalis,latifolia,,<1,N,
1,N,40.1.1,Eleusine,indica,,<1,N,
1,N,40.1.1,Chamaesyce,sp,hirta or opthalmica,<1,N,
1,N,40.1.1,Eleusine,indica,,<1,N,
1,N,40.1.1,Digitaria,ciliaris,,<1,N,
1,N,40.1.10,Cyperus,rotundus,,,,
1,N,40.1.10,Spermacoce,sp,,,,
1,N,40.1.10,,,Dicot,,,Sampled
1,N,40.1.10,,,Dicot,,,Sampled
1,N,40.1.10,Acalypha,alopecuroidea,,,,
1,N,40.1.10,Eleusine,indica,,,,
1,N,40.1.10,Chamaesyce,sp,hyperissifolia or hyssopifolia,,,
1,N,40.1.10,Acalypha,sp,,,,Sampled
1,N,40.1.10,Nama,jamaicensis,,,,
1,N,40.1.10,Digitaria,ciliaris,,,,
1,N,40.1.10,Chamaesyce,hirta,,,,
1,N,40.1.10,Portulaca,oleracea,,,,
1,N,40.1.10,Lepidium,virginianum,,,,
1,N,40.1.10,Eragrostis,barrelieri,,,,
1,N,40.3.1,Cyperus,rotundus,,<1,N,
1,N,40.3.1,Crotalaria,juncea,,40,N,
1,N,40.3.1,Sorghum,bicolor,,3,N,
1,N,40.3.1,Eragrostis,barrelieri,,<1,N,
1,N,40.3.1,Eleusine,indica,,<1,N,
1,N,40.3.1,Phyllanthus,amarus,,<1,N,
1,N,40.3.1,Chamaesyce,sp,hirta or opthalmica,<1,N,
1,N,40.3.1,Digitaria,ciliaris,,<1,N,
1,N,40.3.1,,,Dicot,<1,N,
1,N,40.3.1,Medicago,lupulina,,<1,N,
1,N,40.3.1,Portulaca,oleracea,,<1,N,
1,N,40.3.1,Chamaesyce,hirta,,<1,N,
1,N,40.3.1,Chamaesyce,opthalmica,,<1,N,
1,N,40.3.10,Leptochloa,sp,,,,Dinebra [Leptochloa] panicea
1,N,40.3.10,Chamaesyce,hyssopifolia,,,,
1,N,40.3.10,Parthenium,hysterophorus,,,,
1,N,40.3.10,Amaranthus,hybridus,,,,
1,N,40.3.10,Portulaca,oleracea,,,,
1,N,40.3.10,Nama,jamaicensis,,,,
1,N,40.3.10,Acalypha,alopecuroidea,,,,
1,N,40.3.10,Lepidium,virginianum,,,,
1,N,40.3.10,Spermacoce,sp,,,,
1,N,40.3.10,Hedyotis,corymbosa,,,,
1,N,40.3.10,Setaria,parviflora,,,,
1,N,40.3.10,Setaria,viridis,,,,Sampled
1,N,40.3.10,Oxalis,latifolia,,,,
1,N,40.3.10,Digitaria,ciliaris,,,,
1,N,40.3.10,Anagallis,arvensis,,,,
1,N,40.3.10,,,Fabaceae,,,
1,N,40.3.10,,,Sedge,,,
1,N,40,Portulaca,oleracea,,,,
1,N,40,Hedyotis,corymbosa,,,,
1,N,40,Amaranthus,spinosus,,,,
1,N,40,Boerhavia,erecta,,,,
1,N,40,Eclipta,prostrata,,,,
1,N,40,Amaranthus,polygonoides,,,,
1,N,40,Chamaesyce,opthalmica,,,,
1,N,40,Paspalum,fimbriatum,,,,
1,N,40,Cyperus,rotundus,,,,
1,N,40,Oenothera,laciniata,,,,
1,N,40,Parthenium,hysterophorus,,,,
1,N,40,Chamaesyce,hyssopifolia,,,,
1,N,41.1.1,Oxalis,latifolia,,<1,N,
1,N,41.1.1,Oenothera,laciniata,,<1,N,
1,N,41.1.1,Nama,jamaicensis,,<1,N,
1,N,41.1.1,Eragrostis,barrelieri,,,,
1,N,41.1.1,Medicago,lupulina,,,,
1,N,41.1.1,Eleusine,indica,,,,
1,N,41.1.1,Acalypha,alopecuroidea,,,,
1,N,41.1.1,Pilea,microphylla,,,,
1,N,41.1.10,Cyperus,rotundus,,,,
1,N,41.1.10,Medicago,lupulina,,,,
1,N,41.1.10,Euphorbia,heterophylla,,,,
1,N,41.1.10,Phyllanthus,amarus,,,,
1,N,41.1.10,Amaranthus,hybridus,,,,
1,N,41.1.10,Spermacoce,remota,,,,
1,N,41.1.10,Lepidium,virginianum,,,,
1,N,41.1.10,Parthenium,hysterophorus,,,,
1,N,41.1.10,Setaria,parviflora,,,,
1,N,41.1.10,Eclipta,prostrata,,,,
1,N,41.1.10,Amaranthus,spinosus,,,,
1,N,41.1.10,Portulaca,oleracea,,,,
1,N,41.1.10,Digitaria,ciliaris,,,,
1,N,41.1.10,Chamaesyce,hirta,,,,
1,N,41.1.10,Anagallis,arvensis,,,,
1,N,41.4.1,Oxalis,Latifolia,,< 1,N,
1,N,41.4.1,Chamaesyce,hyssopifolia,,< 1,N,
1,N,41.4.1,Acalypha,setosa,,< 1,N,
1,N,41.4.1,Amaranthus,hybridus,,< 1,N,
1,N,41.4.1,Sida,ulmifolia,,< 1,N,
1,N,41.4.1,Eragrostis,barrelieri,,< 1,N,
1,N,41.4.1,Digitaria,ciliaris,,< 1,N,
1,N,41.4.1,Boerhavia,erecta,,< 1,N,
1,N,41.4.1,Tridax,procumbens,,< 1,N,
1,N,41.4.1,Amaranthus,polygonoides,,< 1,N,
1,N,41.4.1,Phyllanthus,amarus,,,,
1,N,41.4.1,Medicago,lupulina,,,,
1,N,41.4.1,Acalypha,alopecuroidea,,,,
1,N,41.4.1,Chenopodium,album,,,,
1,N,41.4.1,Parthenium,hysterophorus,,,,
1,N,41.4.1,Eleusine,indica,,,,
1,N,41.4.1,Portulaca,oleracea,,,,
1,N,41.4.1,Cyperus,rotundus,,,,
1,N,41.4.1,Chenopodium,album,,,,
1,N,41.4.1,Setaria,parviflora,,,,
1,N,41.4.10,Euphorbia,Heterophyla,,,,
1,N,41.4.10,Cyperus,rotundus,,,,
1,N,41.4.10,Amaranthus,polygonoides,,,,
1,N,41.4.10,Phyllanthus,amarus,,,,
